questionText,trlLevel,technologyType,category
Concept development completed,1,Agri-Aqua Machinery and Facility,Technology Status
Potential user identified ,1,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Initial assessment on the potential user,2,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Blueprint or design of the machine/facility completed,2,Agri-Aqua Machinery and Facility,Technology Status
First prototype created,2,Agri-Aqua Machinery and Facility,Technology Status
Working prototype created ,3,Agri-Aqua Machinery and Facility,Technology Status
Invention disclosure submitted for IP application,3,Agri-Aqua Machinery and Facility,Intellectual Property Status
Initial Business Model Canvas (BMC) developed,3,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Prototype tested for basic operational capability,3,Agri-Aqua Machinery and Facility,Technology Status
Meeting with potential industry partner,4,Agri-Aqua Machinery and Facility,Industry Adoption Status
IP filed,4,Agri-Aqua Machinery and Facility,Intellectual Property Status
Successfully operated under laboratory-scale or controlled conditions,4,Agri-Aqua Machinery and Facility,Technology Status
Market Research is conducted,4,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Demonstration tests conducted in trade fairs or pilot sites,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status
BMC is enhanced based on result of Market Research,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Machine/Facility is stable during pilot-scale operation,5,Agri-Aqua Machinery and Facility,Technology Status
Agreements with industry parters for product testing secured,5,Agri-Aqua Machinery and Facility,Industry Adoption Status
Manual of operation established,6,Agri-Aqua Machinery and Facility,Technology Status
Negotiated for the Technology Licensing Terms and Conditions,6,Agri-Aqua Machinery and Facility,Industry Adoption Status
IP Valuation is conducted,6,Agri-Aqua Machinery and Facility,Intellectual Property Status
Production or fabrication manual established,6,Agri-Aqua Machinery and Facility,Technology Status
Business Plan is crafted,6,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Multi-location testing conducted,6,Agri-Aqua Machinery and Facility,Technology Status
First replication of the machine,7,Agri-Aqua Machinery and Facility,Technology Status
Successful industry testing and validation,7,Agri-Aqua Machinery and Facility,Technology Status
Processing of documents for industry and government compliance,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Fairness Opinion Review requested,8,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Compliance with regulatory requirements,8,Agri-Aqua Machinery and Facility,Regulatory Compliance Status
Technology Licensing Agreement is signed,9,Agri-Aqua Machinery and Facility,Industry Adoption Status
Technology fully commercialized/Machine or facility commercially available to target users,9,Agri-Aqua Machinery and Facility,Market and Commercialization Status
Concept development completed,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Potential user identified ,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Initial experiments conducted in laboratory,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Initial assessment on the potential user,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Initial formulation created ,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Formulation optimized based on initial results,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Invention disclosure is submitted for IP application,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Intellectual Property Status
Accomplished Initial Business Model Canvas,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Formulated product tested with target animals,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
IP filed,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Intellectual Property Status
Meeting with potential industry partner,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status
Market Research is conducted,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Proximate analysis confirms nutritional adequacy,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
"Positive experimental results observed (e.g.: growth, feed intake, health indicators)",4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Agreements with industry parters for product testing secured,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status
Product improved from laboratory formulation  ,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Product displayed at trade fairs or industry events,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Manual of production created and tested at pilot scale,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
BMC enhanced based on market research,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Technology Licensing Terms negotiated,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status
IP Valuation conducted,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Intellectual Property Status
Business Plan crafted,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
"Initial market tests conducted (trade shows, limited release)",6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
First industry-scale production,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
"Processing of documents for industry and government compliance (e.g.; feed regulation, quality standards)",7,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status
Successful validation of industry-scale production ,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Standardized manual for industry-scale production established,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Created the Technology Commercialization Plan,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Fairness Opinion Review requested,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Compliance with regulatory requirements achieved (BAI),8,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status
Product ready for full-scale commercial production (replicable without error),8,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status
Technology Licensing Agreement is signed,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status
Technology fully commercialized/Product commercially available to target users,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status
Concept development completed,1,Fertilizer and Pesticide,Market and Commercialization Status
Potential user identified ,1,Fertilizer and Pesticide,Technology Status
Initial assessment on the potential user,2,Fertilizer and Pesticide,Market and Commercialization Status
Initial experiments conducted in laboratory,2,Fertilizer and Pesticide,Technology Status
Created initial formulation,2,Fertilizer and Pesticide,Technology Status
"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",3,Fertilizer and Pesticide,Technology Status
Initial Business Model Canvas is Formulated,3,Fertilizer and Pesticide,Market and Commercialization Status
Invention disclosure is submitted for IP application,3,Fertilizer and Pesticide,Intellectual Property Status
Formulation optimized based on initial animal response,3,Fertilizer and Pesticide,Technology Status
Meeting with potential industry partner,4,Fertilizer and Pesticide,Industry Adoption Status
Market Research is conducted,4,Fertilizer and Pesticide,Market and Commercialization Status
Positive experimental results on product efficacy under controlled conditions,4,Fertilizer and Pesticide,Technology Status
"Positive results from necessary testing (e.g.; chemical analysis, stability, environmental safety)",4,Fertilizer and Pesticide,Technology Status
IP filed,4,Fertilizer and Pesticide,Intellectual Property Status
Product improved from laboratory formulation  ,5,Fertilizer and Pesticide,Market and Commercialization Status
